Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1998,779908300,937171,0.0015496751,1.5496751,1.015513,,922855,0.0015260023,15.260022999999999,,,374000,0.00056305336,0.56305336,51000,0.00009134406,0.09134406,1168000,0.0017584126,1.7584126,394000,0.00059316313,0.59316313,45000,0.00021307587,0.21307587,,,,62000,0.00016353997,0.16353997,0.5938327,1.6269388878402,6.4227715,0.5742478,0.32880878
,Africa,1999,799099600,928493,0.0014976714,1.4976714,1.053989,,880933,0.0014209554,14.209553999999999,,,346000,0.00050863036,0.5086303600000001,11000,0.000019236504,0.019236503999999998,1324000,0.0019463197,1.9463196999999999,417000,0.0006130025,0.6130025,46000,0.00021340243,0.21340243,,,,64000,0.00016481038,0.16481037999999998,0.6138431,1.6817619009906,6.6419854,0.59481543,0.34252152
,Africa,2000,818952400,945264,0.00148755,1.48755,1.0520973,,898457,0.00141389,14.1389,,,560000,0.0008038014,0.8038014,65000,0.000110995126,0.110995126,1420000,0.0020382106,2.0382106,442000,0.0006344289,0.6344289,47000,0.00021363031,0.21363031000000002,,,,67000,0.00016848907,0.16848907000000002,0.6374629,1.7464736811654002,6.905191,0.6166133,0.35441783
,Africa,2001,839464100,1026201,0.0015754522,1.5754522,1.0757005,,953984,0.0014645825,14.645825,,,622000,0.0008716491,0.8716491,19000,0.00003168226,0.03168226,1603000,0.0022463882,2.2463881999999997,455000,0.00063762115,0.6376211500000001,48000,0.00021378188,0.21378188,,,,70000,0.00017194015,0.17194015,0.63522667,1.7403470236924201,6.860569,0.6174212,0.35265818
,Africa,2002,860611800,1029470,0.0015414457,1.5414457000000001,1.0407256,,989185,0.0014811261,14.811261,,,725000,0.0009917746,0.9917746,19000,0.000030930973,0.030930972999999997,1812000,0.0024787525,2.4787525,473000,0.0006470475,0.6470475,52000,0.00022684487,0.22684487,,,,77000,0.00018470257,0.18470256999999998,0.64853513,1.77680855757438,7.0010214,0.6290384,0.35984746
,Africa,2003,882349600,1009566,0.001474294,1.474294,0.9793357,,1030869,0.0015054021,15.054020999999999,,,837000,0.0011176376,1.1176376000000001,22000,0.00003496183,0.034961830000000006,1918000,0.0025610859,2.5610859,492000,0.0006569626,0.6569626,86000,0.00036730166,0.36730166000000003,,,,85000,0.00019909913,0.19909912999999999,0.65856683,1.8042926668885801,7.1307883,0.6381188,0.3646882
,Africa,2004,904781600,1173271,0.001670783,1.670783,1.02619,,1143328,0.0016281419,16.281419,,,678000,0.00088366366,0.88366366,25000,0.000038783946,0.038783946,1814000,0.0023642564,2.3642564,504000,0.0006568827,0.6568827,139000,0.00058111467,0.58111467,,,,90000,0.00020583821,0.20583821,0.6583076,1.8035824477176001,7.095781,0.6370483,0.3643087
,Africa,2005,927898430,1317193,0.001828598,1.8285980000000002,1.0896317,,1208843,0.0016781798,16.781798,,,1248000,0.0015874902,1.5874902,27000,0.000040889765,0.040889765,2459000,0.0031279156,3.1279156,619000,0.000787385,0.787385,95000,0.00038877016,0.38877016,,,,103000,0.00022994232,0.22994232,0.7895335,2.163105457821,8.432998,0.77064306,0.43819606
,Africa,2006,951740540,1498401,0.0020274362,2.0274362000000004,1.1224182,,1334976,0.001806311,18.063109999999998,,,1033000,0.0012822046,1.2822046,31000,0.000045825545,0.045825545,2437000,0.0030249106,3.0249106,641000,0.00079563714,0.79563714,109000,0.00043651412,0.43651412,,,,108000,0.00023527382,0.23527382000000002,0.7943501,2.1763016220726,8.552772,0.77401143,0.43801376
,Africa,2007,976461760,1411115,0.0018606234,1.8606234,1.0392568,,1357812,0.0017903403,17.903403,,,1791000,0.0021687383,2.1687383000000002,50000,0.00007213532,0.07213531999999999,2723000,0.0032973057,3.2973057000000003,684000,0.00082826184,0.8282618399999999,90000,0.00035250364,0.35250364,,,,103000,0.00021891893,0.21891892999999998,0.8297056,2.2731660046656,8.765033,0.8158182,0.45686123
,Africa,2008,1001981600,1402222,0.0017470061,1.7470061,1.134876,,1235573,0.0015393805,15.393805,,,1639000,0.001935975,1.935975,29000,0.000040830197,0.040830197,2937000,0.0034691633,3.4691633,760000,0.00089770654,0.8977065399999999,97000,0.00037138123,0.37138123,,,,91000,0.0001887097,0.1887097,0.9002807,2.4665224410882,9.393628,0.8936951,0.49784932
,Africa,2009,1028200500,1588817,0.0019288764,1.9288764,1.1319631,,1403595,0.00170401,17.0401,,,2051000,0.0023631125,2.3631124999999997,191000,0.00026245767,0.26245767,3026000,0.0034864838,3.4864838000000002,654000,0.0007535229,0.7535229,89000,0.00033298062,0.33298062,,,,83000,0.00016796097,0.16796097000000001,0.75868523,2.07858965044698,7.8240137,0.76036537,0.42018417
,Africa,2010,1055233700,1604449,0.001897784,1.897784,1.3473223,,1190843,0.0014085597,14.085597,,,2451000,0.0025325394,2.5325394,161000,0.00019765904,0.19765903999999998,3966000,0.0040481864,4.0481864,427000,0.00044120537,0.44120537,401000,0.00052237045,0.52237045,44000,0.0004107142,0.41071420000000003,169000,0.00020515277,0.20515276999999998,0.44172418,1.21020322077468,4.446887,0.4311458,0.215376
,Africa,2011,1082676100,1897942,0.002186388,2.186388,1.1711663,,1620558,0.0018668467,18.668467,,,2242000,0.0022581033,2.2581033,64000,0.00007663466,0.07663466000000001,4028000,0.0040072175,4.0072175,363000,0.0003656073,0.36560729999999997,455000,0.00051716744,0.51716744,25000,0.00022800038,0.22800038,197000,0.00023293191,0.23293191,0.36663634,1.00448311324284,3.7075887,0.35656986,0.17767943
,Africa,2012,1110797400,2126417,0.0023857458,2.3857458,1.1770991,,1806490,0.002026801,20.26801,,,2372000,0.0022510393,2.2510393,198000,0.00022211346,0.22211345999999998,4557000,0.0042728935,4.2728934999999995,399000,0.00037865288,0.37865288,501000,0.0006060232,0.6060232,21000,0.00018704397,0.18704397,215000,0.00024761775,0.24761774999999997,0.38009143,1.04134637314818,3.8034291,0.3731733,0.1862129
,Africa,2013,1140180900,2189432,0.0023926795,2.3926795000000003,1.1511477,,1901956,0.0020785164,20.785164,,,2146000,0.0019847092,1.9847092,55000,0.000060183753,0.060183753,4696000,0.004290608,4.290608,408000,0.0003773352,0.3773352,548000,0.00065995066,0.65995066,27000,0.00023476066,0.23476066,203000,0.00022775479,0.22775479,0.37866542,1.03743949647492,3.8055964,0.37182683,0.18495055
,Africa,2014,1170299300,2476257,0.00263553,2.63553,1.3225057,,1872398,0.0019928308,19.928308,,,2584000,0.002277211,2.277211,108000,0.00011686092,0.11686092,4807000,0.0042184424,4.218442400000001,436000,0.0003826172,0.3826172,423000,0.00041984275,0.41984275,37000,0.00023160067,0.23160067,194000,0.00020647809,0.20647809,0.38400722,1.05207456482172,3.8442569,0.37592104,0.18701005
,Africa,2015,1201108200,2619533,0.0027154363,2.7154363,1.2368505,,2117906,0.0021954442,21.954442,,,2750000,0.0023758078,2.3758078,98000,0.000106351494,0.106351494,5187000,0.0044341157,4.4341157,395000,0.0003376664,0.3376664,365000,0.0003989933,0.3989933,0,0,0,187000,0.00019384622,0.19384622,0.3404324,0.9326914975224001,3.3753326,0.3356475,0.16496494
,Africa,2016,1232111900,2771245,0.0027236273,2.7236273,1.113956,,2487751,0.0024450044,24.450044,,,2837000,0.00239419,2.39419,149000,0.00015159028,0.15159028,5158000,0.0043529193,4.3529193,488000,0.00041183108,0.41183107999999996,625000,0.0007142273,0.7142273,168000,0.0010012025,1.0012025,258000,0.0002606622,0.2606622,0.41174,1.12805478324,4.2302394,0.39679655,0.20115134
,Africa,2017,1263334000,3589968,0.0034396658,3.4396658,1.3104122,,2739572,0.002624873,26.24873,,,2776000,0.00230545,2.30545,385000,0.0003611365,0.36113649999999997,5952000,0.00483417,4.834169999999999,571000,0.0004637619,0.4637619,762000,0.0008338494,0.8338494000000001,0,0,0,258000,0.00025415528,0.25415528000000004,0.46505365,1.2741195762999,4.7518454,0.4515001,0.22676356
,Africa,2018,1295265300,3684967,0.003442579,3.442579,1.4089314,,2615434,0.0024433974,24.433974,,,4485000,0.0035517726,3.5517726,246000,0.00024638468,0.24638468,7844000,0.0062118405,6.2118405,470000,0.0003722036,0.37220359999999997,864000,0.0008375287,0.8375286999999999,99000,0.0005634557,0.5634557,409000,0.00039289714,0.39289714,0.3715921,1.0180605377646,3.6695254,0.36952847,0.18186398
,Africa,2019,1327701400,3444546,0.0031390153,3.1390153,1.2740617,,2703595,0.0024637862,24.637862,,,5164000,0.0040069926,4.0069926,227000,0.00019939379,0.19939379000000002,8354000,0.006482265,6.482265,519000,0.00040271672,0.40271672000000003,655000,0.0006359701,0.6359701,387000,0.0029451828,2.9451828,317000,0.00029420076,0.29420076,0.40470845,1.1087902628847,3.977768,0.39956316,0.1965661
,Africa,2020,1360677500,3888053,0.0034568857,3.4568857,1.3240527,,2936479,0.0026108369,26.108369,,,5684000,0.0042507886,4.2507886,317000,0.0002635125,0.2635125,8988000,0.0067216908,6.7216908,548000,0.0004098227,0.4098227,1194000,0.0011360359,1.1360359,43000,0.0003210004,0.3210004,319000,0.00029327426,0.29327426,0.41084656,1.1256070024425602,4.0808663,0.40486425,0.20033011
,Africa,2021,1393676700,4679332,0.004061244,4.061244,1.4416487,,3245820,0.002817083,28.170830000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1961,270510700,71813,,,0.37579998,,191071,,,,,12000,0.00004436054,0.04436054,16000,0.000059147387,0.059147387,65000,0.00024028626,0.24028626,33000,0.000121991485,0.12199148500000001,6000,0.00002218027,0.02218027,,,,7000,0.000025876981,0.025876981,0.12,0.32876712,1.31,0.11,0.06
,Africa (FAO),1962,277177280,84594,,,0.3935,,214994,,,,,15000,0.00005411699,0.054116990000000004,16000,0.00005772479,0.05772479,81000,0.00029223174,0.29223174,43000,0.00015513536,0.15513536,7000,0.000025254594,0.025254594000000002,,,,8000,0.000028862394,0.028862394,0.15,0.4109589,1.67,0.15,0.08
,Africa (FAO),1963,284055300,87260,,,0.3949,,220995,,,,,3000,0.000010561324,0.010561324,31000,0.00010913369,0.10913368999999999,57000,0.00020066516,0.20066516,31000,0.00010913369,0.10913368999999999,7000,0.00002464309,0.02464309,,,,8000,0.000028163531,0.028163531000000002,0.11,0.30136986,1.16,0.1,0.05
,Africa (FAO),1964,291157440,76781,,,0.3692,,207945,,,,,12000,0.000041214815,0.041214814999999995,10000,0.000034345678,0.034345678,76000,0.00026102716,0.26102716,43000,0.00014768643,0.14768643,6000,0.000020607407,0.020607407,,,,7000,0.000024041976,0.024041976,0.15,0.4109589,1.59,0.14,0.07
,Africa (FAO),1965,298478340,73067,,,0.348,,209964,,,,,10000,0.000033503267,0.033503266999999996,16000,0.00005360523,0.053605230000000004,64000,0.00021442091,0.21442091,34000,0.00011391111,0.11391111,6000,0.000020101961,0.020101961,,,,7000,0.000023452289,0.023452288999999998,0.11,0.30136986,1.2,0.11,0.06
